N	종목명	현재가	전일비	등락률	액면가	시가총액	상장주식수	외국인비율	거래량	PER	ROE
52,현대제철,"53,700",100,+0.19%,"5,000","71,660","133,446",20.07,"809,015",-68.41,-2.59,
53,LG유플러스,"15,600",150,+0.97%,"5,000","68,111","436,611",32.90,"1,610,091",13.14,6.46,
54,CJ제일제당,"450,500","7,000",-1.53%,"5,000","67,819","15,054",25.50,"42,156",18.12,13.50,
55,금호석유,"218,000",500,+0.23%,"5,000","66,420","30,468",23.28,"262,922",7.84,20.18,
56,한국타이어앤테크놀로지,"53,000",300,+0.57%,500,"65,654","123,875",42.17,"181,491",14.60,5.12,
57,아모레G,"75,400",0,0.00%,500,"62,173","82,458",17.91,"139,322",147.84,0.31,
58,미래에셋증권,"9,570",40,+0.42%,"5,000","60,800","635,316",14.50,"1,321,928",7.63,8.94,
59,현대건설,"54,300","1,400",-2.51%,"5,000","60,466","111,356",21.36,"1,150,733",49.10,1.84,
60,강원랜드,"28,000",150,-0.53%,500,"59,903","213,940",20.26,"746,093",-37.28,-7.92,
61,한국금융지주,"105,000",0,0.00%,"5,000","58,512","55,726",33.02,"165,169",4.69,16.27,
62,코웨이,"78,800",600,+0.77%,500,"58,154","73,800",58.82,"157,573",13.55,31.51,
63,현대중공업지주,"72,200",500,-0.69%,"1,000","57,033","78,993",17.47,"273,556",-25.22,-8.12,
64,SKC,"140,500",0,0.00%,"5,000","53,205","37,868",13.31,"236,262","-2,230.16",2.21,
65,LG이노텍,"224,000","5,000",+2.28%,"5,000","53,014","23,667",30.61,"464,729",13.03,10.20,
66,두산밥캣,"49,750",0,0.00%,500,"49,874","100,249",25.50,"176,782",15.14,6.15,
67,한진칼,"73,800",700,-0.94%,"2,500","48,902","66,263",15.42,"151,355",-60.10,-19.55,
68,오리온,"120,000","1,000",-0.83%,500,"47,443","39,536",39.42,"92,771",17.83,15.50,
69,맥쿼리인프라,"12,600",0,0.00%,0,"46,896","372,192",14.98,"775,065",N/A,N/A,
70,한미사이언스,"68,800",600,-0.86%,500,"46,306","67,305",1.69,"59,589",167.40,3.47,
71,유한양행,"64,300",800,-1.23%,"1,000","44,993","69,973",18.34,"134,157",46.90,11.06,
72,이마트,"161,000","2,500",+1.58%,"5,000","44,880","27,876",31.55,"132,109",11.10,4.05,
73,삼성중공업,"7,060",180,+2.62%,"5,000","44,478","630,000",14.41,"9,815,915",-2.48,-33.06,
74,삼성엔지니어링,"22,450","1,050",+4.91%,"5,000","44,002","196,000",30.66,"5,442,505",15.55,16.75,
75,GS,"47,000",100,+0.21%,"5,000","43,670","92,915",18.76,"223,921",6.90,-2.82,
76,롯데지주,"41,000","1,450",-3.42%,200,"43,013","104,909",8.83,"712,868",-100.74,-3.03,
77,현대차2우B,"116,000",500,+0.43%,"5,000","42,323","36,485",61.60,"32,071",14.04,N/A,
78,쌍용C&E,"8,360",120,+1.46%,100,"42,123","503,860",3.40,"4,104,610",30.51,7.92,
79,신풍제약,"78,800","3,000",+3.96%,500,"41,752","52,985",9.15,"4,606,496",916.28,1.72,
80,KODEX 200,"43,325",100,+0.23%,0,"41,115","94,900",4.05,"1,800,001",N/A,N/A,
81,삼성증권,"45,450",700,+1.56%,"5,000","40,587","89,300",28.10,"309,207",5.19,9.89,
82,삼성카드,"34,700",450,+1.31%,"5,000","40,203","115,859",9.13,"253,529",9.46,5.69,
83,대우조선해양,"37,300",750,-1.97%,"5,000","40,019","107,291",7.34,"528,893",-10.24,2.27,
84,한미약품,"328,500","2,500",-0.76%,"2,500","39,677","12,078",13.59,"29,821",169.07,1.65,
85,F&F,"516,000","11,000",+2.18%,500,"39,533","7,661",10.45,"46,129",N/A,N/A,
86,호텔신라,"98,700",100,-0.10%,"5,000","38,738","39,248",19.57,"376,656",-18.68,-36.74,
87,녹십자,"325,500","3,500",-1.06%,"5,000","38,040","11,687",20.41,"44,301",37.99,7.48,
88,CJ대한통운,"166,000","1,000",-0.60%,"5,000","37,868","22,812",22.37,"49,093",31.54,3.89,
89,팬오션,"6,900",30,+0.44%,"1,000","36,885","534,570",9.97,"4,504,314",29.36,3.25,
90,GS건설,"42,500",350,-0.82%,"5,000","36,334","85,491",26.58,"386,524",10.22,7.68,
91,NH투자증권,"12,800",150,+1.19%,"5,000","36,020","281,409",17.55,"848,334",4.79,10.32,
92,대우건설,"8,620",30,-0.35%,"5,000","35,827","415,623",8.83,"3,871,471",9.69,11.06,
93,한국가스공사,"38,450",100,-0.26%,"5,000","35,494","92,313",7.48,"455,174",-18.09,-2.24,
94,DB손해보험,"49,500",350,+0.71%,500,"35,046","70,800",43.63,"132,460",5.65,9.08,
95,효성티앤씨,"793,000","58,000",+7.89%,"5,000","34,319","4,328",21.38,"190,529",13.39,25.10,
96,현대오토에버,"125,000","4,500",+3.73%,500,"34,280","27,424",1.25,"148,272",44.55,11.09,
97,롯데쇼핑,"121,000","4,000",-3.20%,"5,000","34,229","28,289",11.58,"185,546",-4.54,-7.70,
98,두산인프라코어,"14,800",150,+1.02%,"5,000","34,217","231,195",10.38,"3,420,181",14.08,6.47,
99,씨에스윈드,"80,000","1,600",-1.96%,500,"33,737","42,171",10.67,"535,252",64.46,8.19,
100,현대미포조선,"83,800","1,000",-1.18%,"5,000","33,472","39,942",10.50,"178,389",-102.32,-0.84,
101,한국항공우주,"34,050",150,+0.44%,"5,000","33,190","97,475",13.08,"325,836",431.01,6.39,
102,휠라홀딩스,"53,900",500,+0.94%,"1,000","32,745","60,752",44.64,"283,070",17.20,10.94,
103,한화생명,"3,715",20,-0.54%,"5,000","32,266","868,530",7.56,"2,794,004",6.89,1.90,
104,두산퓨얼셀,"49,200",350,+0.72%,100,"32,223","65,494",11.72,"1,480,058",277.97,4.18,
105,일진머티리얼즈,"69,800",600,+0.87%,500,"32,185","46,111",9.65,"301,931",80.05,7.23,
106,BGF리테일,"184,500","1,000",-0.54%,"1,000","31,889","17,284",31.99,"13,322",25.19,18.60,
107,키움증권,"121,000","3,500",+2.98%,"5,000","31,662","26,167",21.22,"169,984",3.23,27.63,
108,CJ,"108,500",500,-0.46%,"5,000","31,657","29,177",17.65,"99,988",-286.28,1.89,
109,에스원,"82,500",100,-0.12%,500,"31,349","37,999",54.96,"41,035",20.98,10.48,
110,만도,"66,500","2,100",+3.26%,"1,000","31,226","46,957",23.49,"903,699",67.10,0.37,
111,SK케미칼,"260,500","4,500",-1.70%,"5,000","30,612","11,751",19.22,"139,338",11.82,30.49,
112,동서,"30,450",250,-0.81%,500,"30,359","99,700",3.53,"122,618",26.55,8.61,
113,신세계,"301,000","1,000",+0.33%,"5,000","29,634","9,845",29.83,"61,017",-92.70,-2.81,
114,메리츠증권,"4,320",25,+0.58%,"1,000","29,451","681,731",14.07,"2,271,627",4.77,13.08,
115,GS리테일,"37,950",400,-1.04%,"1,000","29,222","77,000",11.23,"238,064",19.50,7.50,
116,LG화학우,"379,000","1,500",-0.39%,"5,000","29,141","7,689",66.07,"17,987",16.50,N/A,
117,제일기획,"24,900",300,+1.22%,200,"28,645","115,041",33.41,"308,335",17.27,16.11,
